Nama Pelatihan,Objid Pelatihan,Category,Tipe,Lokasi Pelatihan,Provider,Academy Event,Location,Provider Category,Event Type,Status,Tgl Mulai,Tgl Selesai,JML Peserta,JML Confirmed,JML Peserta Hadir,JML UBPP Inst,JML UBPP Delivery,UBPP Inst,UBPP Akom,UBPP Sarana,UBPP Laborat,UBPP Penyelenggaraan,UBPP Kafetaria,UBPP Materi,Net Promotor Score,Customer Satisfaction,First Response & Average Handling,Customer Effort Score
OC Trusted Advisor Webinar Series 3,80113044,LAT,Project,Jakarta,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-07-28,2020-07-28,233,102,155,47,74,89.35,90,90,0,90,90,90,100,90,90,90
OC AM Sales Competence Development,80113081,LAT,Project,Jakarta,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-28,2020-07-29,50,49,49,26,0,68.9,0,83.1,0,82.09,0,80.75,34.38,81.54,86.33,80.74
Audit Report Writing for IA,80113115,LAT,,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-28,2020-07-30,21,20,20,16,16,85.63,80.63,83.75,0,87.88,78.13,88.75,68.75,83.25,88.13,88.38
NMS For Huawei,80113134,LAT,,Surabaya,Learning Area 5 Surabaya,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-28,2020-07-30,23,23,23,14,15,91.15,72,86.67,0,89.6,73.33,89.67,66.67,81.87,92,89.47
CDCP,80113135,LAT,,Bandung,Learning Area 3 Bandung,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-28,2020-07-30,10,10,10,9,9,72.59,50,61.11,0,74.89,50,76.11,0,62.44,77.78,75.56
Publik Relation Skil,80112970,LAT,,Jakarta,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-27,2020-07-28,26,24,26,21,23,92.02,64.35,80.44,0,86.78,60.44,91.22,60.87,76.35,84.78,90.27
TNT Coaching BP 6 B4,80113015,LAT,,Bandung,Learning Area 3 Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-27,2020-08-12,30,28,28,12,13,74.41,0,87.86,0,85.86,0,86.25,50,85.95,87.86,86.29
Legal Drafting,80113036,LAT,Seminar,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-07-27,2020-07-29,1,1,1,1,0,80,0,100,0,98,0,95,100,100,100,94
Sprint Planning AfAM batch 2,80113042,LAT,Project,Jakarta,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-07-27,2020-07-27,57,37,37,9,7,79.42,90,98,0,94.8,90,91.5,100,94.8,90,91.6
TOR Dapen,90004231,NON LAT,,Bandung,Learning Area 3 / LO Bandung,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-07-27,2020-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Validasi Soal Exam Brevet 1,90004260,NON LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO Bandung,NITS,Online (Lokasi Masing-Masing),Internal,Internal,Draft,2020-07-27,2020-07-30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangmat 4DX Sumsel,90004254,NON LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO Bandung,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-07-26,2020-07-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Expert Insights,90004233,NON LAT,Sharing Session / Bedah Buku,,Learning Area 3 / LO,GOFM,,,Internal,WO,2020-07-25,2020-07-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advance Neuroscience for Leader,80113055,LAT,,Bandung,Learning Area 3 / LO Bandung,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-25,2020-07-26,11,6,8,4,5,80.83,70,76,0,79.2,68,78,20,75.2,80,77.2
Advance Neuroscience for Leader,80113109,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,Close Budget,2020-07-25,2020-07-26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sales Force TR 7 Batch,80112825,LAT,,,,,Online (Lokasi Masing-Masing),,,,2020-07-24,2020-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sales Force TR 7 Batch,80112828,LAT,,,,,Online (Lokasi Masing-Masing),,,,2020-07-24,2020-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Global Listening,80113054,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,Close WO,2020-07-24,2020-07-24,6,4,6,1,1,77.14,0,90,0,84,0,90,100,83.33,80,88
OC Talkshow IoT,80113131,LAT,Seminar,Jakarta,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-07-24,2020-07-24,177,57,89,69,70,83.73,0,89.73,0,89.34,0,88.29,65.79,89.51,90.8,88.16
Sesi 1 Trial Pelatihan Online,90004229,NON LAT,,BANDUNG,Learning Area 3 / LO Bandung,,,Internal,Internal,Close WO,2020-07-24,2020-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penyusunan Soal Exam Brevet-1,90004258,NON LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO Bandung,NITS,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-07-23,2020-07-24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoeba Dig Mrktng & Growth Hacking Sesi3,80113005,LAT,Test Online,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-23,2020-07-23,62,44,40,35,36,88.66,69.72,82.5,0,87,72.22,88.19,72.22,79.11,87.78,88
Objectives & Key Results (OKR),80113108,LAT,Seminar,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-23,2020-07-24,13,12,13,5,5,94.09,70,100,0,92,68,89,100,84.8,82,90
Sertifikasi Brevet A/B,80113009,LAT,Test Online,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-07-22,2020-09-04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Practical Coaching Skill,80113051,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Internal,Close Budget,2020-07-22,2020-08-13,24,24,24,11,11,77.23,0,89.09,0,90,0,91.36,63.64,90.91,89.09,90.73
Mikrotik produk & troubleshoot (ROC&CCAN,80113100,LAT,,Jakarta,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-22,2020-07-24,26,15,24,3,12,81.67,78.33,87.5,0,93.5,78.33,92.5,91.67,86.83,95.83,91.33
Marketing 4.0,80113104,LAT,,Semarang,Learning Area 4 Semarang,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-22,2020-07-23,50,49,49,36,36,89.02,75.53,80.79,0,88.94,66.32,89.21,76.32,80.37,87.1,88.73
Sales Master Class,80113106,LAT,,Medan,Learning Area 1 Medan,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-22,2020-07-28,15,15,15,14,3,79.79,0,93.53,0,92.22,0,93.47,94.44,93.02,92.22,92.44
Strategic Management for Mitratel,80113107,LAT,,Medan,Learning Area 1 Medan,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-22,2020-07-23,17,17,17,17,17,79.06,0,91.11,0,91.56,0,91.25,83.33,92.22,91.67,90.89
Trial Pelaihan Online LA-6,90004223,NON LAT,,BANDUNG,Learning Area 3 / LO Bandung,,,Internal,Internal,Close WO,2020-07-22,2020-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM Development MITRATEL,80112958,LAT,,Bandung,Learning Area 3 / LO Bandung,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-21,2020-07-23,20,16,19,19,19,,0,92.63,0,92.84,0,93.82,78.95,92.81,93.68,93.47
OC Digital Transformation for BUMN BUMD,80112968,LAT,Seminar,Jakarta,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-07-21,2020-07-21,217,86,162,39,49,87.16,90,100,0,92,90,90,100,94,90,90
Collection Management,80112999,LAT,,Surabaya,Learning Area 5 Surabaya,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-21,2020-07-22,96,78,95,3,67,86.67,84.03,83.58,0,86.21,87.16,85.75,58.21,85.61,83.88,85.94
NMS For ZTE,80113103,LAT,,Makassar,Learning Area 7 Makassar,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-21,2020-07-23,26,25,26,24,26,89.01,68.89,81.54,0,86.3,67.41,87.94,74.07,77.54,85.93,87.76
Fulfillment Indihome,80113105,LAT,,Jakarta,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-21,2020-07-22,15,15,15,13,15,94.06,68.67,86,0,88.27,71.33,87,53.33,80.4,92.67,86.53
Meeting NKI LA-3,90004217,NON LAT,,BANDUNG,Learning Area 3 / LO Bandung,,,Internal,Internal,Close WO,2020-07-21,2020-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLP Praticisioner,80112816,LAT,,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-20,2020-08-12,6,6,6,5,6,77.71,0,91.67,0,90,0,90.42,100,88.89,91.67,90.33
LDP For Rookie Batch 5,80112924,LAT,,Bandung,Learning Area 3 Bandung,LEADERSHIP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-20,2020-07-23,29,29,29,29,29,79.13,0,86.55,0,89.38,0,89.74,75.86,88.62,90.35,89.1
AWS Developer Associate,80112964,LAT,Test Online,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-07-20,2020-07-23,10,10,10,3,3,82.22,70,75,0,83,75,80,0,79,80,81
Telkom Certified User Experience,80113032,LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,Close Budget,2020-07-20,2020-07-24,9,9,9,6,6,73.78,0,87.5,0,89.5,0,88.13,75,88.33,88.75,88.25
CDCE,80113033,LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Internal,Close Budget,2020-07-20,2020-07-24,5,5,5,5,5,82.06,0,88,0,93.6,0,92.5,100,92,92,92
Coaching TNT BP 6,80113053,LAT,,Bandung,Learning Area 3 Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-20,2020-08-05,26,26,25,19,12,78.32,0,85.67,0,86.85,0,86,60,85.78,89.33,85.57
Sharing Session SM Learning Operation,90004207,NON LAT,,BANDUNG,Learning Area 3 / LO Bandung,,,Internal,Internal,Close WO,2020-07-18,2020-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangmat GPMP 5,90004206,NON LAT,Pengembangan Materi,Bandung,Dalam Negeri,LEADERSHIP,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-07-17,2020-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scaled Professional Scrum Cert Exam,80112822,LAT,Test Online,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-07-17,2020-07-17,1,1,1,1,1,80,70,80,0,74,80,82.5,0,78,70,78
Digital Sales Channel via sosmed,80112966,LAT,,Bandung,Learning Area 3 / LO,CONSUMER,Online (Lokasi Masing-Masing),External,Internal,Close WO,2020-07-17,2020-07-17,54,50,46,31,34,88.38,80.59,84.12,0,86.98,76.77,86.07,52.94,83.12,87.88,86.1
Capital Venture for IA,80112989,LAT,,Bandung,Learning Area 3 Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-17,2020-07-17,140,101,118,65,84,88.08,91.18,90.59,0,89.88,89.41,83.89,76.47,89.88,89.41,85.49
BCG Program-Building Organization,80112956,LAT,,Bandung,Learning Area 3 / LO Bandung,LEADERSHIP,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-07-16,2020-07-16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peningkatan kualitas data via UIM TOOLS,80112987,LAT,,Jakarta,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-16,2020-07-23,20,19,20,15,19,88.41,66.84,78.42,0,84.42,68.95,86.97,57.89,77.05,87.9,85.26
Amoeba Dig Mrktng & Growth Hacking Sesi2,80113004,LAT,Test Online,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-16,2020-07-16,63,48,43,20,38,89.75,71.03,79.23,0,87.08,67.95,86.84,76.92,78.41,85.9,86.86
Aviatrix Certified Engineer - Multi-Cloud Network Associate,90004242,NON LAT,,,,CONSUMER,,,Internal,Draft,2020-07-16,2020-07-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangmat Revisi Design GPMP III,90004168,NON LAT,Pengembangan Materi,Bandung,Dalam Negeri,LEADERSHIP,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-07-16,2020-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharing Agile AM pd Workshop Segment MCS DES,90004175,NON LAT,Sharing Session / Bedah Buku,Jakarta,Learning Area 3 / LO,ENTERPRISE,Kebon Sirih Jakarta,External,Internal,WO,2020-07-16,2020-07-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pengembangan Materi GPTP XII,90004163,NON LAT,Pengembangan Materi,,Learning Area 3 / LO,BUSINNESS ENABLER,,,Internal,WO,2020-07-15,2020-07-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leadership for PT TA,90004173,NON LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO Bandung,NITS,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-07-15,2020-07-17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cert of Comp in Business Analysis (CCBA),80112824,LAT,Test Online,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-07-15,2020-07-16,6,6,6,6,6,72.5,73.33,76.67,0,82,66.67,80,33.33,74.67,88.33,80.33
Machine Learning with Python,80112899,LAT,Pengembangan Materi,Jakarta,Learning Area 2 Jakarta,NITS,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-07-15,2020-07-16,10,10,10,8,10,92.71,91,95,0,93.8,92,93.33,90,93.8,92,92.86
Monetizing Digital Marketing,80112920,LAT,,Jakarta,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-14,2020-07-14,52,50,50,25,42,84.23,71.91,84.76,0,86.57,71.67,86.11,64.29,80.76,86.43,85.55
GOOGLE LANGUAGE,80112930,LAT,,Jakarta,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-14,2020-07-17,5,5,5,2,5,77.27,86,94,0,93.6,74,91.5,100,89.2,92,91.2
Coaching TNT BP 5,80112965,LAT,,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-14,2020-07-17,24,24,24,16,20,74.38,0,82.5,0,82.93,0,85.5,46.43,82.86,85.71,84.17
Webinar Digi Transformation for Loc Gov,80113031,LAT,Seminar,Jakarta,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-14,2020-07-14,179,62,117,50,57,83.2,75.25,82.37,0,85.8,76.61,85.53,52.54,81.26,84.66,85.41
Bangmat 4DX,90004165,NON LAT,Pengembangan Materi,Bandung,,,LA-3,,Internal,WO,2020-07-14,2020-07-17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Google Cloud Certified in Google Suite,90004265,NON LAT,,,,CONSUMER,,,Internal,Draft,2020-07-14,2020-07-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Presentation Skill for Mitratel,80112859,LAT,,Bandung,Learning Area 3 / LO Bandung,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-13,2020-07-15,15,14,14,14,14,93.46,85,89.29,0,91.14,81.43,92.5,64.29,87.86,91.43,92.14
LDP For Rookie Batch 4,80112898,LAT,,Bandung,Learning Area 3 Bandung,LEADERSHIP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-13,2020-07-16,30,30,30,29,30,76.99,0,84.33,0,87.45,0,89.17,73.33,86.74,88,88
Access Network Design & Planning,80112921,LAT,,Medan,Learning Area 1 Medan,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-13,2020-07-17,23,22,22,22,22,87.85,51.82,69.09,0,85.18,45,87.04,59.09,66.82,85.91,86.27
FINON,80112928,LAT,,Makassar,Learning Area 7 Makassar,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-13,2020-07-16,25,24,24,24,23,88.4,58.82,75.29,0,84.25,61.18,84.56,72.22,73.14,82.94,83.41
Analisa Proses Pengadaan,80112963,LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Internal,Close Budget,2020-07-13,2020-07-17,19,19,19,14,14,90.77,75.71,87.86,0,93.71,80,95.71,92.86,85.86,96.43,94.57
CX Certification Foundation,80112977,LAT,Test Online,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-07-13,2020-09-04,5,5,5,0,3,0,50,73.33,0,85.33,73.33,85.83,66.67,76.43,83.33,84
CX Certification Management,80112978,LAT,Test Online,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-07-13,2020-10-11,3,3,3,2,2,93.33,85,85,0,87,80,95,100,87,80,92
AWS Cert Solut Architect Assoc B1 2020,80112980,LAT,Test Online,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-07-13,2020-07-16,17,17,17,14,15,87.38,68.57,72.86,0,83.57,64.29,83.64,35.71,75.29,90.71,81.45
 NMS Access Trouble & Prov Nokia,80112981,LAT,,Semarang,Learning Area 4 Semarang,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-13,2020-07-15,15,15,15,15,15,84.89,65.33,77.33,0,83.33,65.33,84.33,33.33,74.53,87.33,83.73
Project Analysis Series,80112823,LAT,Seminar,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-07-11,2020-07-11,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
PKPA Online,80112946,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,Close WO,2020-07-11,2020-08-02,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Professional Scrum Product Owner B2 2020,80112821,LAT,Test Online,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-07-10,2020-07-12,3,3,3,3,3,93.33,93.33,90,0,94,70,93.33,66.67,88,96.67,93.33
Leadership Communication Prog for Treg 4,80112922,LAT,,Semarang,Learning Area 4 Semarang,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-10,2020-07-24,99,98,98,53,56,90.64,77.14,87.5,0,91.43,78.75,91.17,76.79,85.39,90,91.08
Assessment JT BP 3,80112938,LAT,,,,,TELKOM HRAS BANDUNG,,,,2020-07-10,2020-07-10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sehat & Bugar di Era New Normal,80112975,LAT,,Bandung,Learning Area 3 / LO Bandung,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-07-10,2020-07-10,17,0,17,0,13,0,0,88.46,0,83.23,0,81.8,46.15,85.9,82.31,81.73
Innovation Development Program Telin,80113002,LAT,,Bandung,Learning Area 3 / LO Bandung,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-07-10,2020-07-10,17,14,14,2,2,100,45,90,0,90,45,87.5,50,72,90,88
Pengembangan Konsep GPTP XII,90004161,NON LAT,Pengembangan Materi,Bandung,,,LA-3,,Internal,WO,2020-07-10,2020-07-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finalisasi Materi CCA Telin,90004157,NON LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO Bandung,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-07-09,2020-07-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangmat GPMP 4,90004159,NON LAT,Pengembangan Materi,Bandung,Dalam Negeri,LEADERSHIP,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-07-09,2020-07-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoeba Class : Final Evaluation,80112632,LAT,Seminar,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-09,2020-07-09,45,12,15,12,12,94.23,79.17,85.83,0,92.17,73.33,93.13,66.67,84.83,92.5,92.5
Proff.Comm : Final Evaluation,80112641,LAT,Seminar,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-09,2020-07-09,33,17,15,7,7,95,84.29,92.86,0,94.29,90,95.71,85.71,91.14,95.71,94.86
Business Model Innovation,80112929,LAT,,Jakarta,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-09,2020-07-10,22,21,22,13,22,72.1,76.36,80,0,80.82,67.27,80.91,45.45,77.36,83.18,79.82
Introduction to SOA,80112944,LAT,,Bandung,Learning Area 3 Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-09,2020-07-09,138,84,107,48,68,84.44,76.09,80.88,0,84.83,77.1,82.4,43.48,80.84,85.07,82.85
Webinar ISP TREG 7,80112948,LAT,,Bandung,Learning Area 3 Bandung,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-07-09,2020-07-09,45,0,45,1,45,68.57,0,99.33,0,99.78,0,99.78,100,99.63,99.78,99.73
Amoeba Dig Mrktng & Growth Hacking Sesi1,80113003,LAT,Test Online,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-09,2020-07-09,63,54,52,21,21,87.38,77.62,83.81,0,88.95,83.81,87.86,52.38,84.86,88.57,88.1
English Presentation skill for SL,80112819,LAT,,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-07-08,2020-08-28,12,9,9,0,1,0,0,100,0,92,0,82.5,100,93.33,90,86
Machine Learning with Python,80112845,LAT,Pengembangan Materi,Jakarta,Learning Area 2 Jakarta,NITS,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-07-08,2020-07-10,11,11,11,10,11,92.15,86.36,90.91,0,92.36,86.36,90.68,100,90.36,90.91,90
Pelatihan OKR Diarium,80112918,LAT,,Bandung,Learning Area 3 Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-08,2020-07-08,53,39,47,24,26,81.2,74.82,77.78,0,83.16,72.96,82.21,44.44,77.78,83.85,82.39
Publik Relation Skil,80112919,LAT,,Bandung,Learning Area 3 Bandung,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-08,2020-07-09,29,29,29,28,28,86.96,68.21,77.86,0,85.11,64.64,86.58,46.43,76.69,83.93,85.97
BUSINESS ACUMEN BATCH 2 FOR AFAM (TR-5),80112950,LAT,Project,Jakarta,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-08,2020-07-09,32,24,29,14,27,92.99,84.07,91.48,0,91.12,79.63,92.78,77.78,87.41,93.85,92.22
Pengembangan Materi GPMP III ,90004155,NON LAT,Pengembangan Materi,Bandung,Dalam Negeri,LEADERSHIP,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-07-08,2020-07-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangmat AM Dev Mitratel,90004153,NON LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO Bandung,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-07-07,2020-07-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agile Way of Working,80112796,LAT,,Surabaya,Learning Area 5 Surabaya,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-07,2020-07-08,30,25,24,5,6,80.5,75,76.67,0,82.67,75,81.67,50,78,83.33,82
Business Plan,80112937,LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Internal,Close Budget,2020-07-07,2020-07-09,14,14,14,13,13,90.64,73.08,82.31,0,88.62,78.46,86.92,69.23,82,90,87.23
Professional Scrum Master Batch 1 2020,80112953,LAT,Test Online,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-07-07,2020-07-09,4,3,4,3,3,97.06,30,93.33,0,93.33,20,94.17,100,66.67,93.33,92.67
Amoeba Class : Flow Pitch Deck,80112631,LAT,Seminar,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-06,2020-07-06,46,12,9,8,8,92.08,71.25,75,0,89.5,62.5,90.94,62.5,77.75,90,90.5
Proff.Comm : Flow Pitch Deck,80112640,LAT,Seminar,Makassar,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-06,2020-07-06,33,16,11,5,5,95,72,96,0,96.4,80,95.5,100,88,96,95.6
General English Class,80112818,LAT,,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-07-06,2020-08-27,14,14,14,8,8,67.64,0,80,0,82,0,85.63,25,78.75,88.75,85.75
Supply Chain Mgt,80112848,LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Internal,Close Budget,2020-07-06,2020-07-10,19,19,19,16,16,79.65,62.5,78.75,0,84.05,65,83.59,43.75,74.38,86,83.88
